ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	VALUE	MORPHEMES	NOTE
2082	d ɛ̃/ɛ ³¹	74	883	daughter-in-law	NorthernSgaw	dɛ³¹῀	d ɛ̃/ɛ ³¹	dɛ³¹῀		
2083	n i ³³	75	894	day	NorthernSgaw	ni³³	n i ³³	ni³³		
2084	s i ³³	76	906	dead,die	NorthernSgaw	si³³	s i ³³	si³³		
2085	ʔ ə ³³	77	918	deaf	NorthernSgaw	Ɂə³³	ʔ ə ³³	Ɂə³³		
2086	j ɔ.ʔ ²¹	78	930	deep	NorthernSgaw	jɔɁ²¹	j ɔ.ʔ ²¹	jɔɁ²¹		
2087	t a ³³ + x ɔ ³³	80	954 19	deer (sambha ~)	NorthernSgaw	ta³³xɔ³³	t a ³³ + x ɔ ³³	ta³³xɔ³³		
2088	k.w i ²¹	81	969	delicious	NorthernSgaw	kwi²¹	k.w i ²¹	kwi²¹		
2089	l !ɔ/ɔ̃ ³³	82	979	descent, go down, set	NorthernSgaw	lɔ³³	l !ɔ/ɔ̃ ³³	lɔ³³		
2090	kʰ ũ/u ³¹	83	992	dig	NorthernSgaw	khu³¹῀	kʰ ũ/u ³¹	khu³¹῀		
2091	d ə̃ ³¹	84	1003	dip up	NorthernSgaw	də³¹῀	d ə̃ ³¹	də³¹῀		
2092	tʰ ə ³³	85	1	Dipterocarpus tuberculatus Roxb	NorthernSgaw	thə³³	tʰ ə ³³	thə³³		
2093	m a Ø/ɦ.¹¹	86	1013	disappear, lost	NorthernSgaw	ma¹¹̈	m a Ø/ɦ.¹¹	ma¹¹ ̈		
2094	tʰ.w !ĩ/i ³¹	87	1040	dog	NorthernSgaw	thwi³¹῀	tʰ.w !ĩ/i ³¹	thwi³¹῀	dog	
2095	m a ³³	88	1027	do, make	NorthernSgaw	ma³³	m a ³³	ma³³		
2096	l.w i ɦ.¹¹	89	1053	dove	NorthernSgaw	lwi¹¹̈	l.w i ɦ.¹¹	lwi¹¹ ̈		
2097	m i ³³ + m ɔ̃ ³¹	90	1981 1066	dream (v.)	NorthernSgaw	mi³³mɔ³¹῀	m i ³³ + m ɔ̃ ³¹	mi³³mɔ³¹῀	sleep ?	
2098	ʔ ɔ ³³	91	1080	drink(v.)	NorthernSgaw	Ɂɔ³³	ʔ ɔ ³³	Ɂɔ³³		
2099	l !ɔ/o ³³	92	1104	dry(v.)	NorthernSgaw	lɔ³³	l !ɔ/o ³³	lɔ³³		
2100	m u ³³	93	1091	drunk	NorthernSgaw	mu³³	m u ³³	mu³³		
2101	ʔ ẽ/e ³¹	94	1116	dung, excrement	NorthernSgaw	Ɂe³¹῀	ʔ ẽ/e ³¹	Ɂe³¹῀		
2102	n a ɦ.¹¹	95	1129	ear	NorthernSgaw	na¹¹̈	n a ɦ.¹¹	na¹¹ ̈	ear	
2103	ɲ ɔ ³³	97	1150	easy	NorthernSgaw	ɲɔ³³	ɲ ɔ ³³	ɲɔ³³		
2104	ʔ ɔ̃ ³¹	98	1160	eat	NorthernSgaw	Ɂɔ³¹῀	ʔ ɔ̃ ³¹	Ɂɔ³¹῀		
2105	d ĩ/i ³¹	99	1173	egg	NorthernSgaw	di³¹῀	d ĩ/i ³¹	di³¹῀		
2106	s ə ¹¹ + k ɔ ³³	100	1187 1186	eggplant	NorthernSgaw	sə¹¹kɔ³³	s ə ¹¹ + k ɔ ³³	sə¹¹kɔ³³		
2107	x ɔ.ʔ ⁴⁵	101	1195	eight	NorthernSgaw	xɔɁ⁴⁵	x ɔ.ʔ ⁴⁵	xɔɁ⁴⁵		
2108	k ə ¹¹ + cʰ !ɔ/ɔ̃ ³³	102	1209 1207	elephant	NorthernSgaw	kə¹¹chɔ³³	k ə ¹¹ + cʰ !ɔ/ɔ̃ ³³	kə¹¹chɔ³³		
2109	pʰ ɔ.ʔ ⁴⁵	103	1226	embrace, hug	NorthernSgaw	phɔɁ⁴⁵	pʰ ɔ.ʔ ⁴⁵	phɔɁ⁴⁵		
2110	n ɨ.ʔ ²¹	104	1237	enter	NorthernSgaw	nɨɁ²¹	n ɨ.ʔ ²¹	nɨɁ²¹		
2111	cʰ u ³³	105	1247	exert forcing to expel	NorthernSgaw	chu³³	cʰ u ³³	chu³³		
2112	pʰ i.ʔ ⁴⁵	106	1255	extinguish (t.v.)	NorthernSgaw	phiɁ⁴⁵	pʰ i.ʔ ⁴⁵	phiɁ⁴⁵		
2113	m ɛ.ʔ ²¹	107	1268	eye, face	NorthernSgaw	mɛɁ²¹	m ɛ.ʔ ²¹	mɛɁ²¹		
2114	t ɛ.ʔ ²¹	108	1277	fall down	NorthernSgaw	tɛɁ²¹	t ɛ.ʔ ²¹	tɛɁ²¹		
2115	b ɔ̰ ³¹	109	1290	fat (adj)	NorthernSgaw	bɔ³¹῀	b ɔ̃ ³¹	bɔ³¹῀		
2116	cʰ ũ ³¹	110	1301	feather, fur, body hair	NorthernSgaw	chu³¹῀	cʰ ũ ³¹	chu³¹῀		
2117	m ɨ̃/ɨ ³¹	112	1337	female, woman	NorthernSgaw	mɨ³¹῀	m ɨ̃/ɨ ³¹	mɨ³¹῀		
2118	m !o/u ɦ.¹¹	113	1323	female (humans), mother	NorthernSgaw	mo¹¹̈	m !o/u ɦ.¹¹	mo¹¹ ̈		
2119	m ẽ/e ³¹	114	1350	fire	NorthernSgaw	me³¹῀	m ẽ/e ³¹	me³¹῀		
2120	j ɛ Ø/ɦ.¹¹	116	1372	five	NorthernSgaw	jɛ¹¹̈	j ɛ Ø/ɦ.¹¹	jɛ¹¹ ̈		
2121	ɣ u.ʔ ²¹	117	1385	flank, rib	NorthernSgaw	ɣuɁ²¹	ɣ u.ʔ ²¹	ɣuɁ²¹		
2122	b ĩ/i ³¹	118	1397	flat	NorthernSgaw	bi³¹῀	b ĩ/i ³¹	bi³¹῀		
2123	!k/kʰ.l i ⁵⁵	119	6	flea	NorthernSgaw	kli⁵⁵	!k/kʰ.l i ⁵⁵	kli⁵⁵, kliɁ⁴⁵		
2124	!k/kʰ.l i.ʔ ⁴⁵	119	1407	flea	NorthernSgaw	kliɁ⁴⁵	!k/kʰ.l i.ʔ ⁴⁵	kli⁵⁵, kliɁ⁴⁵		
2125	ɲ ã/a ³¹	120	1422	flesh, meat	NorthernSgaw	ɲa³¹῀	ɲ ã/a ³¹	ɲa³¹῀		
2126	pʰ ɔ ³³	121	1432	flower	NorthernSgaw	phɔ³³	pʰ ɔ ³³	phɔ³³		
2127	p.ɣ a Ø/ɦ.¹¹ + l a.ʔ ⁴⁵ + k.l a.ʔ ⁴⁵	123	1444 1445 1443	forest, jungle	NorthernSgaw	pɣa¹¹̈laɁ⁴⁵klaɁ⁴⁵	p.ɣ a Ø/ɦ.¹¹ + l a.ʔ ⁴⁵ + k.l a.ʔ ⁴⁵	pɣa¹¹ ̈laɁ⁴⁵klaɁ⁴⁵		
2128	l.w i ɦ.¹¹	124	1464	four	NorthernSgaw	lwi¹¹̈	l.w i ɦ.¹¹	lwi¹¹ ̈		
2129	tʰ.w i !¹¹/³¹ + m i ³³	125	1040 316	fox, wolf	NorthernSgaw	thwi¹¹mi³³	tʰ.w i !¹¹/³¹ + m i ³³	thwi¹¹mi³³	dog wild	
2130	d ẽ/e ³¹	126	1498	frog	NorthernSgaw	de³¹῀	d ẽ/e ³¹	de³¹῀	frog	
2131	ɲ a ³³	127	1511	front	NorthernSgaw	ɲa³³	ɲ a ³³	ɲa³³		
2132	s ã/a ³¹	128	1519	fruit	NorthernSgaw	sa³¹῀	s ã/a ³¹	sa³¹῀		check nasal form in source
2133	p.ɣ ɛ ³³	129	1530	full	NorthernSgaw	pɣɛ³³	p.ɣ ɛ ³³	pɣɛ³³		
2134	s ə ¹¹ + ʔ e ³³	130	1540 1539	ginger	NorthernSgaw	sə¹¹Ɂe³³	s ə ¹¹ + ʔ e ³³	sə¹¹Ɂe³³		
2135	l ɛ ³³	131	1554	go	NorthernSgaw	lɛ³³	l ɛ ³³	lɛ³³		
2136	d.w ɛ̃/ɛ ³¹	132	1577	grasshopper	NorthernSgaw	dwɛ³¹῀	d.w ɛ̃/ɛ ³¹	dwɛ³¹῀		
2137	l i ³³	133	1565	grandchild	NorthernSgaw	li³³	l i ³³	li³³		
2138	l o ³³	134	1588	great-grandchild	NorthernSgaw	lo³³	l o ³³	lo³³		
2139	l a ³³	135	1599	great-great-gandchild	NorthernSgaw	la³³	l a ³³	la³³		
2140	kʰ !o/u ³¹ + s u ³³	136	1611 7	hair (head~)	NorthernSgaw	kho³¹῀su³³	kʰ !o/u ³¹ + s u ³³	kho³¹῀su³³	*khuB hair/su	
2141	t o Ø/ɦ.¹¹	137	1632	handle	NorthernSgaw	to¹¹̈	t o Ø/ɦ.¹¹	to¹¹ ̈		
2142	l i.ʔ ²¹	139	1664	hawk, eagle	NorthernSgaw	liɁ²¹	l i.ʔ ²¹	liɁ²¹		
2143	ʔ õ/o ³¹	140	1652	have, be, exist, stay, there is	NorthernSgaw	Ɂo³¹῀	ʔ õ/o ³¹	Ɂo³¹῀	exist	
2144	s a.ʔ ⁴⁵	142	1687	heart	NorthernSgaw	saɁ⁴⁵	s a.ʔ ⁴⁵	saɁ⁴⁵		
2145	ɕ.ɣ ɔ̃/ɔ ³¹	144	1708	hemp	NorthernSgaw	ɕɣɔ³¹῀	ɕ.ɣ ɔ̃/ɔ ³¹	ɕɣɔ³¹῀		
2146	kʰ i ³³ + k !o/ɔ̃ Ø/ɦ.¹¹	145	1721 1720	hip	NorthernSgaw	khi³³ko¹¹̈	kʰ i ³³ + k !o/ɔ̃ Ø/ɦ.¹¹	khi³³ko¹¹ ̈		
2147	t !ɔ/ə̃ Ø/ɦ.¹¹	146	1732	hit hard (with a fist)	NorthernSgaw	tɔ¹¹̈	t !ɔ/ə̃ Ø/ɦ.¹¹	tɔ¹¹ ̈		
2148	n !ə/ə̃ ³³	147	1742	horn	NorthernSgaw	nə³³	n !ə/ə̃ ³³	nə³³		
2149	pʰ.l ə ³³	148	1755	hornet	NorthernSgaw	phlə³³	pʰ.l ə ³³	phlə³³		
2150	k ə ³³ + s e ɦ.¹¹	149	1768 1767	horse	NorthernSgaw	kə³³se¹¹̈	k ə ³³ + s e ɦ.¹¹	kə³³se¹¹ ̈		
2151	k ə ¹¹ + j a ³³	150	1787 1786	hundred	NorthernSgaw	kə¹¹ja³³	k ə ¹¹ + j a ³³	kə¹¹ja³³		
2152	w a ³³	151	1803	husband	NorthernSgaw	wa³³	w a ³³	wa³³		
2153	cʰ a ³³	152	1815	ill, painful, sick	NorthernSgaw	cha³³	cʰ a ³³	cha³³		
2154	x a Ø/ɦ.¹¹	153	1829	insect	NorthernSgaw	xa¹¹̈	x a Ø/ɦ.¹¹	xa¹¹ ̈	insect	
2155	!pʰ/p.ɣ i.ʔ ²¹	154	1840	intestines	NorthernSgaw	phɣiɁ²¹	!pʰ/p.ɣ i.ʔ ²¹	phɣiɁ²¹		
2156	tʰ a.ʔ ⁴⁵	155	1853	iron	NorthernSgaw	thaɁ⁴⁵	tʰ a.ʔ ⁴⁵	thaɁ⁴⁵		
2157	s a.ʔ ⁴⁵	156	1866	itchy	NorthernSgaw	saɁ⁴⁵	s a.ʔ ⁴⁵	saɁ⁴⁵		
2158	k ə ³³ + l e ɦ.¹¹	157	1879 1878	kidney	NorthernSgaw	kə³³le¹¹̈	k ə ³³ + l e ɦ.¹¹	kə³³le¹¹ ̈		
2159	l ã/a ³¹	158	1894	leaf	NorthernSgaw	la³¹῀	l ã/a ³¹	la³¹῀		
2160	s !u/a.ʔ ⁴⁵	159	1907	leech (land~)	NorthernSgaw	suɁ⁴⁵	s !u/a.ʔ ⁴⁵	suɁ⁴⁵		
2161	s ə ¹¹ + l i ³³	160	1920 1921	leech (water~)	NorthernSgaw	sə¹¹li³³	s ə ¹¹ + l i ³³	sə¹¹li³³		
2162	c ẽ/e ³¹	161	1934	left (side)	NorthernSgaw	ce³¹῀	c ẽ/e ³¹	ce³¹῀		
2163	kʰ ɔ̃ ³¹	162	1947	leg	NorthernSgaw	khɔ³¹῀	kʰ ɔ̃ ³¹	khɔ³¹῀		
2164	!pʰ/p.l i.ʔ ⁴⁵	163	1959	lemur (flying~), flying squirrel	NorthernSgaw	phliɁ⁴⁵	!pʰ/p.l i.ʔ ⁴⁵	phliɁ⁴⁵		
2165	l ẽ/e ³¹	164	1971	lick (v.)	NorthernSgaw	le³¹῀	l ẽ/e ³¹	le³¹῀		
2166	m i ³³	165	1981	lie down, sleep	NorthernSgaw	mi³³	m i ³³	mi³³	sleep	
2167	pʰ.ɣ i ³³	166	1993	light (~weight)	NorthernSgaw	phɣi³³	pʰ.ɣ i ³³	phɣi³³		
2168	tʰ a ³³	167	2005	linear measure of about 8-9 inches (a span)	NorthernSgaw	tha³³	tʰ a ³³	tha³³		
2169	p.l a Ø/ɦ.¹¹	168	46	linear measure of about half a yard (closed-hand)	NorthernSgaw	pla¹¹̈	p.l a Ø/ɦ.¹¹	pla¹¹ ̈	arrow	
2170	t ə ³³	169	2025	linear measure of about half a yard (open-hand)	NorthernSgaw	tə³³	t ə ³³	tə³³		
2171	kʰ.l i ³³	170	2036	linear measure of about two yards	NorthernSgaw	khli³³	kʰ.l i ³³	khli³³		
2172	k ə ³³ + n ã/a ³¹	171	2047 2046	listen to	NorthernSgaw	kə³³na³¹῀	k ə ³³ + n ã/a ³¹	kə³³na³¹῀	/kə³³ ear-listen	
2173	ʔ õ ³¹	172	2059	live, stay	NorthernSgaw	Ɂo³¹῀	ʔ õ ³¹	Ɂo³¹῀	live-exist	
2174	s ũ ³¹	173	2072	liver	NorthernSgaw	su³¹῀	s ũ ³¹	su³¹῀		
2175	j i.ʔ ²¹	174	2098	long (of time)	NorthernSgaw	jiɁ²¹	j i.ʔ ²¹	jiɁ²¹		
2176	tʰ ɔ ³³	175	2086	long (of length), tall, high	NorthernSgaw	thɔ³³	tʰ ɔ ³³	thɔ³³		
2177	k ə ¹¹ + cʰ e ³³	177	2121 2120	loris	NorthernSgaw	kə¹¹che³³	k ə ¹¹ + cʰ e ³³	kə¹¹che³³		
2178	cʰ ɔ ³³ + x a Ø/ɦ.¹¹	178	579 1829	louse (chicken~), insect	NorthernSgaw	chɔ³³xa¹¹̈	cʰ ɔ ³³ + x a Ø/ɦ.¹¹	chɔ³³xa¹¹ ̈	chicken insect	
2179	s ũ ³¹	179	2153	louse (head~)	NorthernSgaw	su³¹῀	s ũ ³¹	su³¹῀	louse	
2180	p ə ³³ + s õ/o ³¹	180	2167 2166	lung	NorthernSgaw	pə³³so³¹῀	p ə ³³ + s õ/o ³¹	pə³³so³¹῀		
2181	l ə̃ ³¹	181	2180	maggot	NorthernSgaw	lə³¹῀	l ə̃ ³¹	lə³¹῀		
2182	pʰ a ³³	182	2193	male (of animals), father	NorthernSgaw	pha³³	pʰ a ³³	pha³³		
2183	kʰ.w !a/ɔ ³³	183	2205	man, male	NorthernSgaw	khwa³³	kʰ.w !a/ɔ ³³	khwa³³		
2184	kʰ ɔ.ʔ ⁴⁵	184	2219	mango	NorthernSgaw	khɔɁ⁴⁵	kʰ ɔ.ʔ ⁴⁵	khɔɁ⁴⁵		
2185	ʔ a ³³	185	2230	many, much	NorthernSgaw	Ɂa³³	ʔ a ³³	Ɂa³³		
2186	kʰ.l ɔ̃/ɔ ³¹	186	2243	mat	NorthernSgaw	khlɔ³¹῀	kʰ.l ɔ̃/ɔ ³¹	khlɔ³¹῀		
2187	s i.ʔ ⁴⁵ + w ɔ ¹¹ + d e ³³	187	2253 2255 12	milipede	NorthernSgaw	siɁ⁴⁵wɔ¹¹_de³³	s i.ʔ ⁴⁵ + w ɔ ¹¹ + d e ³³	siɁ⁴⁵wɔ¹¹ de³³		
2188	w i ³³	188	2279	mole	NorthernSgaw	wi³³	w i ³³	wi³³	mole	
2189	kʰ u.ʔ ⁴⁵	190	2302	monitor lizard (land~)	NorthernSgaw	khuɁ⁴⁵	kʰ u.ʔ ⁴⁵	khuɁ⁴⁵		
2190	k.r e.ʔ ⁴⁵	191	2312	monitor lizard (water~)	NorthernSgaw	kreɁ⁴⁵	k.r e.ʔ ⁴⁵	kreɁ⁴⁵		
2191	l a ³³	193	2328	moon, month	NorthernSgaw	la³³	l a ³³	la³³		
2192	j ɨ ɦ.¹¹	195	2349	mouse, rat	NorthernSgaw	jɨ¹¹̈	j ɨ ɦ.¹¹	jɨ¹¹ ̈	muroid	
2193	m ẽ/e ³¹	197	2372	nail	NorthernSgaw	me³¹῀	m ẽ/e ³¹	me³¹῀		
2194	m i ³³	198	2388	name	NorthernSgaw	mi³³	m i ³³	mi³³		
2195	ʔ ĩ ³¹	199	2401	narrow	NorthernSgaw	Ɂi³¹῀	ʔ ĩ ³¹	Ɂi³¹῀		
2196	d e ³³	200	2413	navel, umbilical cord	NorthernSgaw	de³³	d e ³³	de³³	navel	
2197	kʰ ɔ.ʔ ⁴⁵ + b o ³³	201	2428 2429	neck, cheek	NorthernSgaw	khɔɁ⁴⁵bo³³	kʰ ɔ.ʔ ⁴⁵ + b o ³³	khɔɁ⁴⁵bo³³	/kho neck	
2198	s ɔ ³³	202	2442	new	NorthernSgaw	sɔ³³	s ɔ ³³	sɔ³³		!borrowing
2199	kʰ.w i ³³	203	2454	nine	NorthernSgaw	khwi³³	kʰ.w i ³³	khwi³³		
2200	n e ɦ.¹¹	204	2468	obtain, receive, take, get	NorthernSgaw	ne¹¹̈	n e ɦ.¹¹	ne¹¹ ̈		
2201	s a.ʔ ⁴⁵ + p.ɣ a Ø/ɦ.¹¹	205	2481 2480	old (of humans)	NorthernSgaw	sa_Ɂ⁴⁵pɣa¹¹̈	s a.ʔ ⁴⁵ + p.ɣ a Ø/ɦ.¹¹	sa Ɂ⁴⁵pɣa¹¹ ̈		
2202	l ɔ ¹¹ + l i ³³	206	2494 2493	old (of things)	NorthernSgaw	lɔ¹¹_l_i³³	l ɔ ¹¹ + l i ³³	lɔ¹¹ l i³³		
2203	t ə ³³	207	2505	one	NorthernSgaw	tə³³	t ə ³³	tə³³		
2204	ʔ ɔ ³³	208	2520	open (the mouth)	NorthernSgaw	Ɂɔ³³	ʔ ɔ ³³	Ɂɔ³³		
2205	ɲ a ³³	210	2540	palm (of the hand)	NorthernSgaw	ɲa³³	ɲ a ³³	ɲa³³		
2206	j o ³³ + h ɔ̃ ³¹	211	2547 2549	pangolin, anteater	NorthernSgaw	jo³³hɔ³¹῀	j o ³³ + h ɔ̃ ³¹	jo³³hɔ³¹῀		
2207	k.l ɛ ³³	213	2570	path, trail, way	NorthernSgaw	klɛ³³	k.l ɛ ³³	klɛ³³~klɛɁ⁴⁵		
2208	!b/p.ɣ a.ʔ ²¹	214	2579	peacock	NorthernSgaw	bɣaɁ²¹	!b/p.ɣ a.ʔ ²¹	bɣaɁ²¹~phɣaɁ²¹		
2209	k ə ¹¹ + p o ³³	215	2591 2590	pen, coop	NorthernSgaw	kə¹¹po³³	k ə ¹¹ + p o ³³	kə¹¹po³³		
2210	tʰ ẽ/e ³¹	216	2604	penis	NorthernSgaw	the³¹῀	tʰ ẽ/e ³¹	the³¹῀		
2211	ɣ i.ʔ ²¹	217	2616	pheasant	NorthernSgaw	ɣiɁ²¹	ɣ i.ʔ ²¹	ɣiɁ²¹		
2212	tʰ ɔ.ʔ ⁴⁵	218	315	pig	NorthernSgaw	thɔɁ⁴⁵	tʰ ɔ.ʔ ⁴⁵	thɔɁ⁴⁵	pig	
2213	!p/b.Ø/l ũ ³¹	219	2637	pile	NorthernSgaw	pu³¹῀	!p/b.Ø/l ũ ³¹	pu³¹῀		
2214	c u.ʔ ⁴⁵	220	2649	pointed (as of needles), sharp point	NorthernSgaw	cuɁ⁴⁵	c u.ʔ ⁴⁵	cuɁ⁴⁵		
2215	tʰ ũ ³¹	221	2662	pole	NorthernSgaw	thu³¹῀	tʰ ũ ³¹	thu³¹῀		
2216	b a ³³	223	2683	porcupine (brush-tailed~)	NorthernSgaw	ba³³	b a ³³	ba³³		
2217	s ə ¹¹ + p ə ³³	224	2694 2693	pot	NorthernSgaw	sə¹¹pə³³	s ə ¹¹ + p ə ³³	sə¹¹pə³³		
2218	t o ɦ.¹¹	225	2708	pound (v.)	NorthernSgaw	to¹¹̈	t o ɦ.¹¹	to¹¹ ̈		
2219	tʰ ɛ.ʔ ⁴⁵	226	2718	pull up	NorthernSgaw	thɛɁ⁴⁵	tʰ ɛ.ʔ ⁴⁵	thɛɁ⁴⁵		
2220	l u ɦ.¹¹	227	2725	pumpkin (ash~)	NorthernSgaw	lu¹¹̈	l u ɦ.¹¹	lu¹¹ ̈		
2221	cʰ !ɔ̃/ɔ ³¹	228	2735	push	NorthernSgaw	chɔ³¹῀	cʰ !ɔ̃/ɔ ³¹	chɔ³¹῀		
2222	s ɔ.ʔ ⁴⁵	229	2755	put on, wear	NorthernSgaw	sɔɁ⁴⁵	s ɔ.ʔ ⁴⁵	sɔɁ⁴⁵		
2223	l i.ʔ ²¹	230	2744	put on (a necklace), wear	NorthernSgaw	liɁ²¹	l i.ʔ ²¹	liɁ²¹		
2224	l ẽ ³¹	231	2769	put out (the tongue)	NorthernSgaw	le³¹῀	l ẽ ³¹	le³¹῀		
2225	p ə ¹¹ + w i ³³	232	2779 2778	quail	NorthernSgaw	pə¹¹wi³³	p ə ¹¹ + w i ³³	pə¹¹wi³³		
2226	p ə ¹¹ + d ɛ ³³	233	2792 2791	rabbit, hare	NorthernSgaw	pə¹¹dɛ³³	p ə ¹¹ + d ɛ ³³	pə¹¹dɛ³³		
2227	b ɨ̃/ɨ ³¹	234	2804	raise, feed (animals)	NorthernSgaw	bɨ³¹῀	b ɨ̃/ɨ ³¹	bɨ³¹῀		
2228	ɣ e ɦ.¹¹	235	2814	rattan	NorthernSgaw	ɣe¹¹̈	ɣ e ɦ.¹¹	ɣe¹¹ ̈		
2229	b !ɨ/u.ʔ ⁴⁵	236	2825	reach into	NorthernSgaw	bɨɁ⁴⁵	b !ɨ/u.ʔ ⁴⁵	bɨɁ⁴⁵		
2230	tʰ !ɨ/u.ʔ ⁴⁵	237	2836	resin	NorthernSgaw	thɨɁ⁴⁵	tʰ !ɨ/u.ʔ ⁴⁵	thɨɁ⁴⁵		
2231	!cʰ/tʰ.w ɛ ³³	238	2846	right (side)	NorthernSgaw	chwɛ³³	!cʰ/tʰ.w ɛ ³³	chwɛ³³		
2232	m i ³³	239	2858	ripe, cooked	NorthernSgaw	mi³³	m i ³³	mi³³		
2233	t e ³³	240	2871	roast (by stuffing into fresh bamboo sections)	NorthernSgaw	te³³	t e ³³	te³³		
2234	ɣ i ɦ.¹¹	241	2882	root	NorthernSgaw	ɣi¹¹̈	ɣ i ɦ.¹¹	ɣi¹¹ ̈		
2235	tʰ u.ʔ ⁴⁵	243	2901	rub, clean, polish, scrub	NorthernSgaw	thuɁ⁴⁵	tʰ u.ʔ ⁴⁵	thuɁ⁴⁵		
2236	ʔ i.ʔ ⁴⁵ + s ã/a ³¹	244	2911 2910	salt	NorthernSgaw	ɁiɁ⁴⁵sa³¹῀	ʔ i.ʔ ⁴⁵ + s ã/a ³¹	ɁiɁ⁴⁵sa³¹῀		
2237	cʰ ə ³³	245	2922	salty, sweet	NorthernSgaw	chə³³	cʰ ə ³³	chə³³		
2238	m ɛ.ʔ ⁴⁵	246	2934	sand	NorthernSgaw	mɛɁ⁴⁵	m ɛ.ʔ ⁴⁵	mɛɁ⁴⁵		
2239	s ə ¹¹ + b i ³³	247	2943 2942	scale (of fish)	NorthernSgaw	sə¹¹_bi³³	s ə ¹¹ + b i ³³	sə¹¹ bi³³		
2240	cʰ a ³³	248	2953	sell	NorthernSgaw	cha³³	cʰ a ³³	cha³³		
2241	n.w i.ʔ ⁴⁵	250	2973	seven	NorthernSgaw	nwiɁ⁴⁵	n.w i.ʔ ⁴⁵	nwiɁ⁴⁵		
2242	cʰ a.ʔ ⁴⁵	251	2986	sew	NorthernSgaw	chaɁ⁴⁵	cʰ a.ʔ ⁴⁵	chaɁ⁴⁵		
2243	s o ³³	253	3006	sheep	NorthernSgaw	so³³	s o ³³	so³³		
2244	t ə ¹¹ + n ɔ.ʔ ⁴⁵	254	14 3017	shivering	NorthernSgaw	tə¹¹nɔɁ⁴⁵	t ə ¹¹ + n ɔ.ʔ ⁴⁵	tə¹¹nɔɁ⁴⁵	_:prefix/t shiver	
2245	kʰ a.ʔ ⁴⁵	255	3034	shoot (v.)	NorthernSgaw	khaɁ⁴⁵	kʰ a.ʔ ⁴⁵	khaɁ⁴⁵		
2246	pʰ ɨ̃/ɨ ³¹	256	3047	short, low	NorthernSgaw	phɨ³¹῀	pʰ ɨ̃/ɨ ³¹	phɨ³¹῀		
2247	j ɔ ¹¹ + tʰ.!Ø/w ü/y ³³	258	3068 3067	shove (with the foot)	NorthernSgaw	jɔ¹¹_thü³³	j ɔ ¹¹ + tʰ.!Ø/w ü/y ³³	jɔ¹¹ ẗ hu³³		
2248	x ɨ ³³	259	3077	six	NorthernSgaw	xɨ³³	x ɨ ³³	xɨ³³		
2249	!pʰ/p.l ɛ.ʔ ²¹	260	3088	skink	NorthernSgaw	phlɛɁ²¹	!pʰ/p.l ɛ.ʔ ²¹	phlɛɁ²¹		
2250	m i ³³ + n e ɦ.¹¹	261	1981 3103	sleeping	NorthernSgaw	mi³³ne¹¹̈	m i ³³ + n e ɦ.¹¹	mi³³ne¹¹ ̈	sleep lie-down	
2251	b.l e ³³	262	3113	slippery	NorthernSgaw	ble³³	b.l e ³³	ble³³		
2252	n ə ³³	263	3125	smell (v.)	NorthernSgaw	nə³³	n ə ³³	nə³³		
2253	kʰ.l õ/o ³¹	264	3136	snail (land~)	NorthernSgaw	khlo³¹῀	kʰ.l õ/o ³¹	khlo³¹῀		
2254	ɣ ɨ Ø/ɦ.¹¹	266	3154	snake	NorthernSgaw	ɣɨ¹¹̈	ɣ ɨ Ø/ɦ.¹¹	ɣɨ¹¹ ̈		
2255	m a.ʔ ²¹	267	3167	son-in-law	NorthernSgaw	maɁ²¹	m a.ʔ ²¹	maɁ²¹		
2256	cʰ !ĩ/ɔ ³¹	268	3179	sour	NorthernSgaw	chi³¹῀	cʰ !ĩ/ɔ ³¹	chi³¹῀		
2257	tʰ u.ʔ ⁴⁵	270	3205	spit (v.)	NorthernSgaw	thuɁ⁴⁵	tʰ u.ʔ ⁴⁵	thuɁ⁴⁵		
2258	k ə ¹¹ + m ɔ ³³	271	3216 3215	spleen	NorthernSgaw	kə¹¹mɔ³³	k ə ¹¹ + m ɔ ³³	kə¹¹mɔ³³		
2259	b.l ã/a ³¹	272	3227	split (bamboo strip)	NorthernSgaw	bla³¹῀	b.l ã/a ³¹	bla³¹῀		
2260	d a ³³	274	3246	spread out (a mat)	NorthernSgaw	da³³	d a ³³	da³³		
2261	c i ɦ.¹¹	275	3259	squeeze, massage	NorthernSgaw	ci¹¹̈	c i ɦ.¹¹	ci¹¹ ̈		
2262	l i.ʔ ⁴⁵ + l u ɦ.¹¹	276	3271 3272	squirrel	NorthernSgaw	liɁ⁴⁵lu¹¹̈	l i.ʔ ⁴⁵ + l u ɦ.¹¹	liɁ⁴⁵lu¹¹ ̈		H
2263	tʰ ə̃ ³¹	277	3282	stand (v.)	NorthernSgaw	thə³¹῀	tʰ ə̃ ³¹	thə³¹῀		
2264	cʰ ã/a ³¹	278	3295	star	NorthernSgaw	cha³¹῀	cʰ ã/a ³¹	cha³¹῀		
2265	h ɨ̃/ɨ ³¹	279	3308	steal (v.)	NorthernSgaw	hɨ³¹῀	h ɨ̃/ɨ ³¹	hɨ³¹῀		
